Libellé;;Emplois salariés trimestriels - Industrie - Sections B, C, D et E - CVS;Codes;Emplois salariés trimestriels - Construction - Section F - CVS;Codes;Emplois salariés trimestriels - Tertiaire marchand - Sections G, H, I, J, K, L, M, N, R, S, T - CVS;Codes;Emplois salariés trimestriels - Industries extractives, énergie, eau, gestion des déchets et dépollution - A17 : DE - CVS;Codes;Emplois salariés trimestriels - Fabrication de denrées alimentaires, de boissons et de produits à base de tabac - A17 : C1 - CVS;Codes;Emplois salariés trimestriels - Cokéfaction et raffinage - A17 : C2 - CVS;Codes;Emplois salariés trimestriels - Fabrication d'équipements électriques, électroniques, informatiques, fabrication de machines - A17 : C3 - CVS;Codes;Emplois salariés trimestriels - Fabrication de matériels de transport - A17 : C4 - CVS;Codes;Emplois salariés trimestriels - Fabrication d'autres produits industriels - A17 : C5 - CVS;Codes;Emplois salariés trimestriels - Construction - A17 : FZ - CVS;Codes;
IdBank;;001577235;;001577236;;001577237;;001577241;;001577242;;001577243;;001577244;;001577245;;001577246;;001577247;;
Année;Trimestre;
2017;T1;3 141,8;SD;1 342,8;SD;12 074,1;SD;367,4;SD;568,1;SD;9,5;SD;417,2;SD;348,2;SD;1 431,3;SD;1 342,8;SD;
2016;T4;3 147,0;SD;1 333,5;SD;12 002,5;SD;370,7;SD;566,8;SD;9,6;SD;418,9;SD;348,2;SD;1 432,8;SD;1 333,5;SD;
2016;T3;3 150,8;SD;1 336,3;SD;11 935,6;SD;372,9;SD;565,8;SD;9,5;SD;419,5;SD;348,7;SD;1 434,4;SD;1 336,3;SD;
2016;T2;3 152,8;SD;1 339,1;SD;11 874,1;SD;374,6;SD;565,9;SD;9,6;SD;420,4;SD;346,2;SD;1 436,1;SD;1 339,1;SD;
2016;T1;3 161,5;SD;1 341,1;SD;11 827,4;SD;376,0;SD;565,2;SD;9,6;SD;423,6;SD;347,9;SD;1 439,3;SD;1 341,1;SD;
2015;T4;3 168,0;SD;1 345,1;SD;11 765,1;SD;377,4;SD;563,5;SD;9,6;SD;426,6;SD;348,8;SD;1 442,1;SD;1 345,1;SD;
2015;T3;3 174,5;SD;1 345,8;SD;11 708,5;SD;377,9;SD;561,8;SD;9,7;SD;429,5;SD;349,1;SD;1 446,6;SD;1 345,8;SD;
2015;T2;3 184,8;SD;1 355,6;SD;11 663,8;SD;378,0;SD;561,6;SD;9,7;SD;432,6;SD;350,7;SD;1 452,3;SD;1 355,6;SD;
2015;T1;3 193,8;SD;1 365,2;SD;11 612,8;SD;377,9;SD;562,2;SD;9,7;SD;433,9;SD;352,0;SD;1 458,1;SD;1 365,2;SD;
2014;T4;3 202,4;A;1 376,4;A;11 591,6;A;378,1;A;562,5;A;9,7;A;435,8;A;353,2;A;1 463,1;A;1 376,4;A;
2014;T3;3 210,7;A;1 391,5;A;11 561,3;A;376,4;A;561,9;A;9,8;A;437,9;A;354,8;A;1 469,9;A;1 391,5;A;
2014;T2;3 221,7;A;1 406,1;A;11 574,9;A;376,5;A;561,7;A;9,9;A;440,9;A;356,6;A;1 476,1;A;1 406,1;A;
2014;T1;3 231,5;A;1 417,3;A;11 551,1;A;376,6;A;561,3;A;9,9;A;442,6;A;359,7;A;1 481,3;A;1 417,3;A;
2013;T4;3 236,0;A;1 423,8;A;11 550,5;A;376,5;A;561,2;A;9,9;A;441,4;A;361,8;A;1 485,2;A;1 423,8;A;
2013;T3;3 241,1;A;1 430,1;A;11 528,8;A;376,6;A;560,5;A;10,0;A;442,2;A;362,1;A;1 489,7;A;1 430,1;A;
2013;T2;3 249,1;A;1 435,3;A;11 488,0;A;376,8;A;558,3;A;10,1;A;443,4;A;364,2;A;1 496,4;A;1 435,3;A;
2013;T1;3 265,4;A;1 440,2;A;11 513,1;A;376,5;A;561,6;A;10,5;A;446,0;A;365,3;A;1 505,6;A;1 440,2;A;
2012;T4;3 274,0;A;1 451,5;A;11 511,5;A;376,0;A;561,7;A;10,4;A;447,7;A;366,0;A;1 512,3;A;1 451,5;A;
2012;T3;3 281,8;A;1 458,1;A;11 540,5;A;375,0;A;563,6;A;10,6;A;449,0;A;366,5;A;1 517,1;A;1 458,1;A;
2012;T2;3 284,1;A;1 463,5;A;11 569,6;A;373,6;A;563,7;A;10,6;A;449,5;A;365,9;A;1 520,9;A;1 463,5;A;
2012;T1;3 288,7;A;1 469,9;A;11 574,6;A;371,6;A;563,8;A;10,7;A;449,7;A;366,6;A;1 526,3;A;1 469,9;A;
2011;T4;3 294,1;A;1 468,3;A;11 584,9;A;370,4;A;563,5;A;10,8;A;450,1;A;365,7;A;1 533,6;A;1 468,3;A;
2011;T3;3 301,0;A;1 469,0;A;11 572,1;A;369,4;A;563,6;A;10,8;A;450,9;A;365,0;A;1 541,2;A;1 469,0;A;
2011;T2;3 306,0;A;1 473,5;A;11 571,9;A;369,7;A;563,9;A;11,0;A;450,9;A;364,1;A;1 546,5;A;1 473,5;A;
2011;T1;3 310,4;A;1 476,5;A;11 541,2;A;370,2;A;563,6;A;11,3;A;451,3;A;363,6;A;1 550,4;A;1 476,5;A;
2010;T4;3 310,7;A;1 476,4;A;11 500,2;A;369,6;A;563,9;A;11,3;A;452,8;A;361,8;A;1 551,2;A;1 476,4;A;
2010;T3;3 322,4;A;1 480,4;A;11 452,5;A;369,2;A;562,7;A;11,5;A;455,0;A;363,5;A;1 560,5;A;1 480,4;A;
2010;T2;3 341,5;A;1 484,1;A;11 395,1;A;369,9;A;563,4;A;11,5;A;460,1;A;366,2;A;1 570,4;A;1 484,1;A;
2010;T1;3 362,4;A;1 488,4;A;11 365,3;A;369,8;A;563,8;A;11,5;A;464,3;A;370,6;A;1 582,4;A;1 488,4;A;
2009;T4;3 394,9;A;1 495,6;A;11 339,1;A;370,2;A;564,6;A;11,7;A;472,0;A;376,5;A;1 599,9;A;1 495,6;A;
2009;T3;3 427,6;A;1 503,5;A;11 290,4;A;369,9;A;564,8;A;11,8;A;479,6;A;381,0;A;1 620,5;A;1 503,5;A;
2009;T2;3 470,6;A;1 515,6;A;11 270,6;A;368,8;A;566,0;A;12,1;A;488,2;A;388,7;A;1 646,8;A;1 515,6;A;
2009;T1;3 518,1;A;1 526,0;A;11 293,9;A;369,4;A;565,7;A;12,3;A;499,3;A;392,5;A;1 679,0;A;1 526,0;A;
2008;T4;3 562,3;A;1 539,2;A;11 389,7;A;367,1;A;567,4;A;12,7;A;506,7;A;397,0;A;1 711,4;A;1 539,2;A;
2008;T3;3 590,9;A;1 546,8;A;11 486,9;A;367,1;A;569,5;A;12,7;A;511,8;A;399,9;A;1 729,8;A;1 546,8;A;
2008;T2;3 603,5;A;1 540,9;A;11 521,8;A;367,6;A;571,3;A;12,9;A;514,4;A;400,1;A;1 737,2;A;1 540,9;A;
2008;T1;3 622,8;A;1 535,2;A;11 570,6;A;366,4;A;574,5;A;12,9;A;517,3;A;404,4;A;1 747,3;A;1 535,2;A;
2007;T4;3 638,3;A;1 530,3;A;11 505,4;A;366,9;A;575,3;A;12,9;A;517,8;A;407,4;A;1 758,0;A;1 530,3;A;
2007;T3;3 648,8;A;1 514,1;A;11 468,1;A;366,3;A;576,4;A;12,9;A;517,9;A;410,6;A;1 764,6;A;1 514,1;A;
2007;T2;3 664,2;A;1 495,8;A;11 411,5;A;366,7;A;577,2;A;13,0;A;520,5;A;413,4;A;1 773,5;A;1 495,8;A;
2007;T1;3 673,3;A;1 483,4;A;11 366,7;A;366,7;A;579,7;A;13,0;A;520,3;A;415,0;A;1 778,6;A;1 483,4;A;
2006;T4;3 682,0;A;1 467,1;A;11 252,3;A;364,9;A;579,4;A;13,0;A;521,0;A;417,6;A;1 786,0;A;1 467,1;A;
2006;T3;3 700,9;A;1 450,1;A;11 201,7;A;365,0;A;584,6;A;13,1;A;522,2;A;420,6;A;1 795,4;A;1 450,1;A;
2006;T2;3 715,1;A;1 435,0;A;11 144,9;A;365,1;A;584,2;A;13,1;A;523,3;A;422,2;A;1 807,1;A;1 435,0;A;
2006;T1;3 726,6;A;1 418,5;A;11 061,2;A;365,0;A;584,1;A;13,2;A;522,9;A;425,0;A;1 816,4;A;1 418,5;A;
2005;T4;3 740,4;A;1 400,9;A;11 051,0;A;364,1;A;585,8;A;13,3;A;523,3;A;427,4;A;1 826,5;A;1 400,9;A;
2005;T3;3 758,4;A;1 384,2;A;11 007,6;A;364,9;A;587,7;A;13,5;A;524,7;A;428,7;A;1 838,9;A;1 384,2;A;
2005;T2;3 780,5;A;1 372,3;A;10 957,8;A;365,3;A;588,6;A;13,7;A;525,5;A;432,2;A;1 855,2;A;1 372,3;A;
2005;T1;3 800,7;A;1 359,3;A;10 947,6;A;365,8;A;590,1;A;14,0;A;526,5;A;434,1;A;1 870,2;A;1 359,3;A;
2004;T4;3 828,6;A;1 350,2;A;10 911,6;A;366,1;A;591,9;A;14,1;A;529,5;A;436,0;A;1 891,0;A;1 350,2;A;
2004;T3;3 845,6;A;1 342,7;A;10 866,7;A;364,8;A;592,9;A;14,1;A;531,6;A;436,5;A;1 905,8;A;1 342,7;A;
2004;T2;3 869,1;A;1 339,8;A;10 848,2;A;363,7;A;597,0;A;14,0;A;535,9;A;435,8;A;1 922,8;A;1 339,8;A;
2004;T1;3 894,7;A;1 331,2;A;10 815,4;A;363,3;A;600,7;A;13,8;A;541,2;A;434,3;A;1 941,4;A;1 331,2;A;
2003;T4;3 919,8;A;1 322,5;A;10 817,0;A;363,4;A;600,6;A;13,8;A;547,0;A;434,2;A;1 960,7;A;1 322,5;A;
2003;T3;3 947,5;A;1 314,9;A;10 781,9;A;363,0;A;603,4;A;13,7;A;554,2;A;435,2;A;1 978,0;A;1 314,9;A;
2003;T2;3 973,2;A;1 311,4;A;10 790,6;A;363,6;A;602,3;A;13,6;A;560,8;A;436,4;A;1 996,5;A;1 311,4;A;
2003;T1;3 995,7;A;1 311,2;A;10 796,5;A;363,4;A;600,2;A;13,4;A;568,1;A;435,3;A;2 015,2;A;1 311,2;A;
2002;T4;4 017,2;A;1 310,3;A;10 802,7;A;366,1;A;598,7;A;13,3;A;574,9;A;432,8;A;2 031,4;A;1 310,3;A;
2002;T3;4 041,2;A;1 311,4;A;10 783,7;A;366,4;A;597,1;A;13,2;A;581,7;A;434,8;A;2 048,1;A;1 311,4;A;
2002;T2;4 055,8;A;1 307,8;A;10 761,7;A;365,5;A;596,5;A;12,9;A;585,8;A;435,0;A;2 060,0;A;1 307,8;A;
2002;T1;4 079,5;A;1 309,3;A;10 744,4;A;365,0;A;597,9;A;12,9;A;591,6;A;437,4;A;2 074,6;A;1 309,3;A;
2001;T4;4 100,9;A;1 309,7;A;10 682,8;A;365,6;A;597,6;A;12,7;A;598,4;A;437,8;A;2 088,8;A;1 309,7;A;
2001;T3;4 115,6;A;1 302,2;A;10 647,6;A;364,9;A;596,1;A;12,8;A;603,5;A;437,0;A;2 101,2;A;1 302,2;A;
2001;T2;4 121,7;A;1 295,8;A;10 598,9;A;364,0;A;593,5;A;12,9;A;607,1;A;435,5;A;2 108,7;A;1 295,8;A;
2001;T1;4 124,3;A;1 289,9;A;10 552,0;A;362,5;A;592,4;A;13,0;A;608,1;A;435,2;A;2 113,0;A;1 289,9;A;
2000;T4;4 110,1;A;1 280,9;A;10 445,6;A;360,3;A;592,3;A;13,2;A;605,2;A;430,3;A;2 108,8;A;1 280,9;A;
2000;T3;4 086,8;A;1 269,0;A;10 345,9;A;357,6;A;590,3;A;13,1;A;599,7;A;425,8;A;2 100,3;A;1 269,0;A;
2000;T2;4 059,6;A;1 255,0;A;10 218,7;A;354,4;A;588,4;A;13,0;A;592,2;A;421,4;A;2 090,3;A;1 255,0;A;
2000;T1;4 035,5;A;1 238,8;A;10 085,5;A;351,3;A;584,2;A;12,6;A;585,8;A;417,6;A;2 084,0;A;1 238,8;A;
1999;T4;4 028,5;A;1 228,3;A;9 985,0;A;348,9;A;584,1;A;12,4;A;583,4;A;416,3;A;2 083,4;A;1 228,3;A;
1999;T3;4 009,5;A;1 216,2;A;9 832,9;A;346,1;A;573,9;A;12,1;A;583,3;A;412,4;A;2 081,6;A;1 216,2;A;
1999;T2;4 021,3;A;1 205,0;A;9 710,8;A;344,9;A;582,8;A;12,1;A;584,8;A;409,7;A;2 086,9;A;1 205,0;A;
1999;T1;4 024,6;A;1 191,1;A;9 624,0;A;344,4;A;580,2;A;12,0;A;587,8;A;408,4;A;2 091,9;A;1 191,1;A;
1998;T4;4 036,0;A;1 188,9;A;9 527,7;A;344,0;A;580,9;A;11,9;A;589,4;A;408,3;A;2 101,5;A;1 188,9;A;
1998;T3;4 042,1;A;1 184,8;A;9 481,7;A;345,1;A;579,0;A;12,3;A;588,6;A;407,8;A;2 109,4;A;1 184,8;A;
1998;T2;4 044,2;A;1 183,8;A;9 422,9;A;344,7;A;575,8;A;13,2;A;589,1;A;409,2;A;2 112,2;A;1 183,8;A;
1998;T1;4 027,4;A;1 184,5;A;9 275,4;A;343,0;A;567,0;A;13,7;A;585,2;A;409,9;A;2 108,5;A;1 184,5;A;
1997;T4;4 025,9;A;1 180,4;A;9 190,8;A;343,6;A;573,0;A;14,2;A;581,6;A;411,0;A;2 102,5;A;1 180,4;A;
1997;T3;4 024,5;A;1 182,9;A;9 087,9;A;342,7;A;572,6;A;14,8;A;580,8;A;410,9;A;2 102,7;A;1 182,9;A;
1997;T2;4 028,5;A;1 185,7;A;9 020,1;A;342,0;A;570,7;A;15,2;A;581,2;A;411,7;A;2 107,6;A;1 185,7;A;
1997;T1;4 027,6;A;1 191,0;A;8 980,0;A;340,5;A;566,7;A;15,6;A;583,9;A;409,8;A;2 111,1;A;1 191,0;A;
1996;T4;4 033,0;A;1 193,7;A;8 914,7;A;339,3;A;563,0;A;16,0;A;585,5;A;409,8;A;2 119,4;A;1 193,7;A;
1996;T3;4 046,1;A;1 206,3;A;8 856,7;A;338,0;A;561,3;A;16,3;A;587,5;A;412,5;A;2 130,4;A;1 206,3;A;
1996;T2;4 058,6;A;1 218,2;A;8 824,8;A;337,1;A;561,5;A;16,6;A;589,6;A;415,3;A;2 138,4;A;1 218,2;A;
1996;T1;4 078,4;A;1 229,3;A;8 788,8;A;338,0;A;561,5;A;17,0;A;590,3;A;419,7;A;2 151,9;A;1 229,3;A;
1995;T4;4 095,0;A;1 241,9;A;8 752,4;A;337,0;A;560,6;A;17,1;A;591,6;A;421,8;A;2 166,9;A;1 241,9;A;
